web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,name,price,link,link-href,instock
"1597508867-1828","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","2","https://mdcomputers.in/storage?page=2","Crucial MX500 1TB M.2 3D Nand Internal Ssd (CT1000Mx500SSD4)","₹10,800","Crucial MX500 1TB M.2 3D Nand Internal Ssd (CT1000Mx500SSD4)","https://mdcomputers.in/crucial-mx500-3d-nand-1tb-m-2-ct1000mx500ssd4.html","null"
"1597508940-2023","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","4","https://mdcomputers.in/motherboards?page=4","MSI MAG Z490 Tomahawk Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 4800MHz Memory)","₹21,400","MSI MAG Z490 Tomahawk Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 4800MHz Memory)","https://mdcomputers.in/msi-mag-z490-tomahawk.html","null"
"1597508720-1537","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","","","Antec Signature 1300 Platinum SMPS - 1300 Watt 80 Plus Platinum Certification Fully Modular PSU With Active PFC","₹21,259","Antec Signature 1300 Platinum SMPS - 1300 Watt 80 Plus Platinum Certification Fully Modular PSU With Active PFC","https://mdcomputers.in/antec-1300-watt-80-plus-platinum-signature-platinum-1300.html","null"
"1597508974-2100","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","","","ASUS ROG RYUO 240 Aura Sync RGB All In One 240mm CPU Liquid Cooler With OLED Display","₹16,990","ASUS ROG RYUO 240 Aura Sync RGB All In One 240mm CPU Liquid Cooler With OLED Display","https://mdcomputers.in/asus-all-in-one-rog-ryuo-240.html","null"
"1597508993-2130","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","3","https://mdcomputers.in/cooling-system?page=3","Deepcool Gammaxx L360 V2 RGB All In One 360mm CPU Liquid Cooler (DP-H12RF-GL360V2C)","₹8,115","Deepcool Gammaxx L360 V2 RGB All In One 360mm CPU Liquid Cooler (DP-H12RF-GL360V2C)","https://mdcomputers.in/deepcool-gammaxx-l360-v2-dp-h12rf-gl360v2c.html","null"
"1597508662-1424","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","5","https://mdcomputers.in/cabinet?page=5","Thermaltake Versa J25 RGB (ATX) Mid Tower Cabinet - With Tempered Glass Side Panel","₹5,352","Thermaltake Versa J25 RGB (ATX) Mid Tower Cabinet - With Tempered Glass Side Panel","https://mdcomputers.in/thermaltake-mid-tower-versa-j25-rgb-tempered-glass-ca-1l8-00m1wn-01.html","null"
"1597508882-1875","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","5","https://mdcomputers.in/memory?page=5","Thermaltake R017D408GX2-4000C19A Desktop Ram TOUGHRAM Series 16GB (8GBx2) DDR4 4000MHz","₹12,400","Thermaltake R017D408GX2-4000C19A Desktop Ram TOUGHRAM Series 16GB (8GBx2) DDR4 4000MHz","https://mdcomputers.in/thermaltake-memory-toughram-16gb-ddr4-4000mhz-r017d408gx2-4000c19a.html","null"
"1597508940-2012","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","4","https://mdcomputers.in/motherboards?page=4","MSI B460M-A PRO Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 64GB DDR4 2933MHz Memory)","₹8,999","MSI B460M-A PRO Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 64GB DDR4 2933MHz Memory)","https://mdcomputers.in/msi-b460m-a-pro.html","null"
"1597508764-1624","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","","","Galax GeForce GTX 1660 (1-Click OC) 6GB GDDR5 192-bit Gaming Graphics Card","₹18,095","Galax GeForce GTX 1660 (1-Click OC) 6GB GDDR5 192-bit Gaming Graphics Card","https://mdcomputers.in/galax-geforce-gtx-1660-1-click-oc-6gb-gddr5-60srh7dsy91c.html","null"
"1597508690-1459","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","4","https://mdcomputers.in/cabinet?page=4","Nzxt H210 (M-ITX) Mini Tower Cabinet with Tempered Glass side panel (Matte White)","₹8,500","Nzxt H210 (M-ITX) Mini Tower Cabinet with Tempered Glass side panel (Matte White)","https://mdcomputers.in/nzxt-h210-matte-white-tempered-glass-ca-h210b-w1.html","null"
"1597508993-2124","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","3","https://mdcomputers.in/cooling-system?page=3","Deepcool Gammaxx L120 V2 RGB All In One 120mm CPU Liquid Cooler (DP-H12RF-GL120V2)","₹4,681","Deepcool Gammaxx L120 V2 RGB All In One 120mm CPU Liquid Cooler (DP-H12RF-GL120V2)","https://mdcomputers.in/deepcool-gammaxx-l120-v2-rgb-dp-h12rf-gl120v2.html","null"
"1597508654-1392","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","","","Antec NX310 ARGB (ATX) Mid Tower Cabinet with Tempered Glass Side Panel (Black)","₹3,609","Antec NX310 ARGB (ATX) Mid Tower Cabinet with Tempered Glass Side Panel (Black)","https://mdcomputers.in/antec-mid-tower-nx310-argb.html","Out Of Stock"
"1597508805-1676","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","2","https://mdcomputers.in/graphics-card?page=2","Galax GeForce RTX 2080 EX OC 8GB GDDR6 256-bit Gaming Graphics Card","₹64,087","Galax GeForce RTX 2080 EX OC 8GB GDDR6 256-bit Gaming Graphics Card","https://mdcomputers.in/galax-geforce-rtx-2080-ex-oc-8gb-gddr6-28nsl6ucu9oc.html","null"
"1597508993-2121","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","3","https://mdcomputers.in/cooling-system?page=3","Deepcool Gammaxx GT TUF Gaming Alliance (TGA) RGB 120mm CPU Air Cooler (DP-MCH4-GMX-GT-TUF)","₹3,850","Deepcool Gammaxx GT TUF Gaming Alliance (TGA) RGB 120mm CPU Air Cooler (DP-MCH4-GMX-GT-TUF)","https://mdcomputers.in/deepcool-gammaxx-gt-tga-dp-mch4-gmx-gt-tuf.html","null"
"1597508974-2089","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","","","Ant Esports ICE-C612 RGB 120mm CPU Air Cooler","₹1,411","Ant Esports ICE-C612 RGB 120mm CPU Air Cooler","https://mdcomputers.in/ant-esports-ice-c612-rgb.html","null"
