web-scraper-order,web-scraper-start-url,name,price,link,link-href
"1597442363-345","https://www.bitfang.com/computer-hardware","Lenovo 65DEKAC1IN AMD FreeSync Fl...","₹ 6,850","","https://www.bitfang.com/lenovo-65dekac1in-amd-freesync-flat-screen-65-hz-1920-x-1080-va-215-in-monitor"
"1597442363-1340","https://www.bitfang.com/computer-hardware","Corsair CC-9011050-WW Carbide Ser...","₹ 2,633","","https://www.bitfang.com/corsair-cc-9011050-ww-carbide-series-atx-micro-atx-mini-itx-cabinet"
"1597442363-276","https://www.bitfang.com/computer-hardware","Asus PRIME-Z390-A LGA 1151 Intel ...","₹ 19,353","","https://www.bitfang.com/asus-prime-z390-a-lga-1151-intel-z390-ddr4-atx-intel-desktop-motherboard"
"1597442363-680","https://www.bitfang.com/computer-hardware","ADATA AHD330-2TU31-CBL 2 TB USB 3...","₹ 4,832","","https://www.bitfang.com/adata-ahd330-2tu31-cbl-2-tb-usb-31-16-mb-25-in-external-hard-drive"
"1597442363-662","https://www.bitfang.com/computer-hardware","ADATA ASD600Q-480GU31-CBK 480 GB ...","₹ 5,166","","https://www.bitfang.com/adata-asd600q-480gu31-cbk-480-gb-nand-flash-25-in-ssds"
"1597442363-1083","https://www.bitfang.com/computer-hardware","ADATA AHV300-2TU31-CWH 2 TB 64 MB...","₹ 6,434","","https://www.bitfang.com/adata-ahv300-2tu31-cwh-2-tb-usb-no-portable-hdds"
"1597442363-867","https://www.bitfang.com/computer-hardware","Zebronics SPK-BTRUCF-X15L 2.0 Cha...","₹ 37,674","","https://www.bitfang.com/zeb-20-tower-speaker-monster-pro-x15l"
"1597442363-1270","https://www.bitfang.com/computer-hardware","Corsair CP-9020096-UK  450W ATX P...","₹ 2,466","","https://www.bitfang.com/corsair-cp-9020096-uk-24pin-450w-power-supply"
"1597442363-1300","https://www.bitfang.com/computer-hardware","Asus ROG STRIX Z270H GAMING LGA 1...","₹ 17,313","","https://www.bitfang.com/asus-rog-strix-z270h-gaming-lga-1151-intel-z270-ddr4-atx-intel-desktop-motherboard"
"1597442363-761","https://www.bitfang.com/computer-hardware","Transcend ESD220C TS240GESD220C 2...","₹ 5,836","","https://www.bitfang.com/transcend-esd220c-240gb-type-c-external-solid-state-hard-drive"
"1597442363-704","https://www.bitfang.com/computer-hardware","Gigabyte B450M S2H AM4 AMD Ryzen ...","₹ 6,300","","https://www.bitfang.com/gigabyte-b450m-s2h-am4-b450-ddr4-micro-atx-amd-desktop-motherboard"
"1597442363-132","https://www.bitfang.com/computer-hardware","Galax 60NRH7DVM6EC GALAX PASCAL P...","₹ 16,400","","https://www.bitfang.com/galax-60nrh7dvm6ec-galax-pascal-pci-express-30-graphic-card"
"1597442363-270","https://www.bitfang.com/computer-hardware","Asus ROG-STRIX-Z390-F-GAMING LGA ...","₹ 20,823","","https://www.bitfang.com/asus-rog-strix-z390-f-gaming-lga-1151-intel-z390-ddr4-atx-intel-desktop-motherboard"
"1597442363-841","https://www.bitfang.com/computer-hardware","ZEBRONICS WHALE BTRUCF 5.1 Multim...","₹ 16,510","","https://www.bitfang.com/zebronics-whale-btrucf-51-multimedia-speaker"
"1597442363-649","https://www.bitfang.com/computer-hardware","Adata AX4U266638G16-SRG 8GB 2666M...","₹ 3,199","","https://www.bitfang.com/adata-ax4u266638g16-srg-ddr4-8-gb-2666mhz"
"1597442363-633","https://www.bitfang.com/computer-hardware","iStorage DiskAshur DT IS-DA-256-8...","₹ 52,139","","https://www.bitfang.com/istorage-diskashur-dt-is-da-256-8000-8tb"
"1597442363-972","https://www.bitfang.com/computer-hardware","Belkin BLKF3U133V06 1.82 mtr Prin...","₹ 1,786","","https://www.bitfang.com/belkin-blkf3u133v06-cables-interconnects"
"1597442363-754","https://www.bitfang.com/computer-hardware","Canon FLATBED UNIT 101 DR-series ...","₹ 74,694","","https://www.bitfang.com/canon-flatbed-unit-101-for-dr2010c-2510-3010-4010-et"
"1597442363-829","https://www.bitfang.com/computer-hardware","Zebronics SPK- BTRUCF ZEB CLAW 2....","₹ 4,026","","https://www.bitfang.com/computer-multimedia-speaker-claw-21"
"1597442363-693","https://www.bitfang.com/computer-hardware","ADATA XPG AS40G-256GT-C 256 GB SA...","₹ 5,501","","https://www.bitfang.com/adata-as40g-256gt-c-256-gb-realtek-m2-2280-ssds"
"1597442363-897","https://www.bitfang.com/computer-hardware","ViewSonic VA1901-A Flat Screen 75...","₹ 6,888","","https://www.bitfang.com/viewsonic-va1901-a-185-in-75hz-monitor"
"1597442363-483","https://www.bitfang.com/computer-hardware","Samsung LC24RG50FQWXXL AMD FreeSy...","₹ 17,283","","https://www.bitfang.com/samsung-lc24rg50fqwxxl-amd-freesync-flat-screen-144-hz-1920-x-1080-va-24-in-monitor"
"1597442363-1176","https://www.bitfang.com/computer-hardware","HP SSD-S700-2.5 250 GB SATA 6 Gb/...","₹ 2,977","","https://www.bitfang.com/hp-ssd-s700-25-250-gb-25-in-3d-nand-internal-solid-state-drive-ssd"
"1597442363-780","https://www.bitfang.com/computer-hardware","Asus ROG STRIX XG32VQ AMD FreeSyn...","₹ 50,939","","https://www.bitfang.com/asus-rog-strix-xg32vq"
"1597442363-566","https://www.bitfang.com/computer-hardware","Logitech MK215  Keyboards & Mouse...","₹ 1,163","","https://www.bitfang.com/logitech-mk215-wireless-black-keyboards-mice-combo"
"1597442363-1216","https://www.bitfang.com/computer-hardware","Samsung LYSB00J2KGP6M 4 GB 1600 M...","₹ 2,195","","https://www.bitfang.com/samsung-ddr3-sdram-4-gb-1600-mhz-cl11-ddr3-sdram-laptop-ram-1-2"
"1597442363-475","https://www.bitfang.com/computer-hardware","Gigabyte Z390 D LGA 1151 Intel Z3...","₹ 11,305","","https://www.bitfang.com/gigabyte-z390-d-lga-1151-intel-z390-ddr4-atx-intel-desktop-motherboard"
"1597442363-1040","https://www.bitfang.com/computer-hardware","D-Link DWL-3600AP 2.4 to 2.497 GH...","₹ 28,271","","https://www.bitfang.com/d-link-dwl-3600ap-24-to-2497-ghz-wireless"
"1597442363-987","https://www.bitfang.com/computer-hardware","Dell WM123 Wireless USB 3 Buttons...","₹ 783","","https://www.bitfang.com/dell-wm123-wireless-usb-3-buttons-mouse"
"1597442363-452","https://www.bitfang.com/computer-hardware","Asus 90SW0090-M0EAY0 LGA 2066 Int...","₹ 30,873","","https://www.bitfang.com/asus-90sw0090-m0eay0-lga-2066-intel-x299-ddr4-atx-intel-desktop-motherboard"
"1597442363-746","https://www.bitfang.com/computer-hardware","Microsoft EJR-00002 1 mtr Display...","₹ 5,384","","https://www.bitfang.com/microsoft-ejr-00002-surface-mini-display-port-to-hdmi-20-adapter"
"1597442363-188","https://www.bitfang.com/computer-hardware","Asus DUAL-RX580-O4G RX580 PCI Exp...","₹ 13,699","","https://www.bitfang.com/asus-dual-rx580-o4g-rx580-pci-express-30-graphic-card"
"1597442363-335","https://www.bitfang.com/computer-hardware","Corsair CMR16GX4M2C3000C16W 16 GB...","₹ 15,169","","https://www.bitfang.com/corsair-cmr16gx4m2c3000c16w-16-gb-3000-mhz-ddr4-desktop-memory"
"1597442363-1115","https://www.bitfang.com/computer-hardware","Adata AD4S213338G15-R 8GB 2133MHz...","₹ 7,217","","https://www.bitfang.com/adata-ad4s213338g15-r-8-gb-2133-mhz-ddr4-desktop-ram"
