web-scraper-order,web-scraper-start-url,page,page-href,name,price,stock,link,link-href
"1597510627-6966","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/4/?post_type=product&taxonomy=product_cat&s","MSI MAG FORGE 100M (ATX) Mid Tower Cabinet With Tempered Glass Side Panel & RGB Controller","₹6,500 ₹4,550","Sold Out","MSI MAG FORGE 100M (ATX) Mid Tower Cabinet With Tempered Glass Side Panel & RGB Controller","https://www.primeabgb.com/online-price-reviews-india/msi-mag-forge-100m-atx-mid-tower-cabinet-tempered-glass-side-panel-rgb-controller/"
"1597509661-5222","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/62/?post_type=product&taxonomy=product_cat&s","PC Cooler GI-AH360U HALO RGB 120mm PWM VortexPro CPU Cooler","Call for Price","Sold Out","PC Cooler GI-AH360U HALO RGB 120mm PWM VortexPro CPU Cooler","https://www.primeabgb.com/online-price-reviews-india/pc-cooler-gi-ah360u-halo-rgb-120mm-pwm-vortexpro-cpu-cooler/"
"1597509795-5465","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/54/?post_type=product&taxonomy=product_cat&s","HyperX Impact Series 8GB (8GBx1) DDR4 2400MHz Laptop Memory HX424S14IB2/8","₹4,500","Sold Out","HyperX Impact Series 8GB (8GBx1) DDR4 2400MHz Laptop Memory HX424S14IB2/8","https://www.primeabgb.com/online-price-reviews-india/hyperx-impact-series-8gb-8gbx1-ddr4-2400mhz-laptop-memory-hx424s14ib28/"
"1597510505-6760","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/11/?post_type=product&taxonomy=product_cat&s","Gigabyte Z490 UD Intel Z490 ATX Motherboard","₹21,400 ₹15,651","null","Gigabyte Z490 UD Intel Z490 ATX Motherboard","https://www.primeabgb.com/online-price-reviews-india/gigabyte-z490-ud-intel-z490-atx-motherboard/"
"1597509444-4852","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/75/?post_type=product&taxonomy=product_cat&s","Acer 23.6 inch KG241Q bmiix AMD FREESYNC Gaming Monitor","₹15,099","Sold Out","Acer 23.6 inch KG241Q bmiix AMD FREESYNC Gaming Monitor","https://www.primeabgb.com/online-price-reviews-india/acer-23-6-kg241q-bmiix-amd-freesync-gaming-monitor/"
"1597510277-6335","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/25/?post_type=product&taxonomy=product_cat&s","AMD EPYC Rome 7302 AMD EPYC 7002 Series 3.0 GHz Server Processor","₹146,508 ₹117,206","null","AMD EPYC Rome 7302 AMD EPYC 7002 Series 3.0 GHz Server Processor","https://www.primeabgb.com/online-price-reviews-india/amd-epyc-rome-7302-amd-epyc-7002-series-3-0-ghz-server-processor-2/"
"1597509574-5084","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/67/?post_type=product&taxonomy=product_cat&s","ASUS WS C422 PRO/SE ATX Motherboard for Intel Xeon W-Series Processors","₹55,000 ₹45,725","null","ASUS WS C422 PRO/SE ATX Motherboard for Intel Xeon W-Series Processors","https://www.primeabgb.com/online-price-reviews-india/asus-ws-c422-prose-atx-motherboard-intel-xeon-w-series-processors/"
"1597510436-6647","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/15/?post_type=product&taxonomy=product_cat&s","Intel S4510 7.68 TB SATA 3D TLC SSD SSDSC2KB076T8","₹222,388 ₹177,910","null","Intel S4510 7.68 TB SATA 3D TLC SSD SSDSC2KB076T8","https://www.primeabgb.com/online-price-reviews-india/intel-s4510-7-68-tb-sata-3d-tlc-ssd-ssdsc2kb076t8/"
"1597510230-6242","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/28/?post_type=product&taxonomy=product_cat&s","Intel Xeon E3-1220 V6 Kaby Lake 3.0 GHz Server Processor","₹34,148 ₹22,765","null","Intel Xeon E3-1220 V6 Kaby Lake 3.0 GHz Server Processor","https://www.primeabgb.com/online-price-reviews-india/intel-xeon-e3-1220-v6-kaby-lake-3-0-ghz-server-processor/"
"1597510230-6265","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/28/?post_type=product&taxonomy=product_cat&s","ASUS ROG Strix Radeon RX 5600 XT 6GB GDDR6 Graphic Card ROG-STRIX-RX5600XT-O6G-GAMING","₹36,500 ₹34,004","null","ASUS ROG Strix Radeon RX 5600 XT 6GB GDDR6 Graphic Card ROG-STRIX-RX5600XT-O6G-GAMING","https://www.primeabgb.com/online-price-reviews-india/asus-rog-strix-radeon-rx-5600-xt-6gb-gddr6-graphic-card-rog-strix-rx5600xt-o6g-gaming/"
"1597510610-6946","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/5/?post_type=product&taxonomy=product_cat&s","Dell D1918H 19 Inch Monitor with 5ms Response Time – HD TN Panel – HDMI – VGA","₹6,500 ₹4,950","null","Dell D1918H 19 Inch Monitor with 5ms Response Time – HD TN Panel – HDMI – VGA","https://www.primeabgb.com/online-price-reviews-india/dell-d1918h-19-inch-monitor-5ms-response-time-hd-tn-panel-hdmi-vga/"
"1597509295-4573","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/84/?post_type=product&taxonomy=product_cat&s","Razer Diamondback (2016) – Multi-color Ambidextrous Gaming Mouse – AP Packaging","₹7,299","Sold Out","Razer Diamondback (2016) – Multi-color Ambidextrous Gaming Mouse – AP Packaging","https://www.primeabgb.com/online-price-reviews-india/razer-diamondback-2016-multi-color-ambidextrous-gaming-mouse-ap-packaging/"
